timedelta,date
0 days 00:00:00,2001-01-01 00:00:00
0 days 06:00:00,2001-01-01 06:00:00
0 days 12:00:00,2001-01-01 12:00:00
0 days 18:00:00,2001-01-01 18:00:00
1 days 00:00:00,2001-01-02 00:00:00
1 days 06:00:00,2001-01-02 06:00:00
1 days 12:00:00,2001-01-02 12:00:00
1 days 18:00:00,2001-01-02 18:00:00
2 days 00:00:00,2001-01-03 00:00:00
2 days 06:00:00,2001-01-03 06:00:00
2 days 12:00:00,2001-01-03 12:00:00
2 days 18:00:00,2001-01-03 18:00:00
3 days 00:00:00,2001-01-04 00:00:00
3 days 06:00:00,2001-01-04 06:00:00
3 days 12:00:00,2001-01-04 12:00:00
3 days 18:00:00,2001-01-04 18:00:00
4 days 00:00:00,2001-01-05 00:00:00
4 days 06:00:00,2001-01-05 06:00:00
4 days 12:00:00,2001-01-05 12:00:00
4 days 18:00:00,2001-01-05 18:00:00
5 days 00:00:00,2001-01-06 00:00:00
5 days 06:00:00,2001-01-06 06:00:00
5 days 12:00:00,2001-01-06 12:00:00
5 days 18:00:00,2001-01-06 18:00:00
6 days 00:00:00,2001-01-07 00:00:00
6 days 06:00:00,2001-01-07 06:00:00
6 days 12:00:00,2001-01-07 12:00:00
6 days 18:00:00,2001-01-07 18:00:00
7 days 00:00:00,2001-01-08 00:00:00
7 days 06:00:00,2001-01-08 06:00:00
7 days 12:00:00,2001-01-08 12:00:00
7 days 18:00:00,2001-01-08 18:00:00
8 days 00:00:00,2001-01-09 00:00:00
8 days 06:00:00,2001-01-09 06:00:00
8 days 12:00:00,2001-01-09 12:00:00
8 days 18:00:00,2001-01-09 18:00:00
9 days 00:00:00,2001-01-10 00:00:00
9 days 06:00:00,2001-01-10 06:00:00
9 days 12:00:00,2001-01-10 12:00:00
9 days 18:00:00,2001-01-10 18:00:00
10 days 00:00:00,2001-01-11 00:00:00
10 days 06:00:00,2001-01-11 06:00:00
10 days 12:00:00,2001-01-11 12:00:00
10 days 18:00:00,2001-01-11 18:00:00
11 days 00:00:00,2001-01-12 00:00:00
11 days 06:00:00,2001-01-12 06:00:00
11 days 12:00:00,2001-01-12 12:00:00
11 days 18:00:00,2001-01-12 18:00:00
12 days 00:00:00,2001-01-13 00:00:00
12 days 06:00:00,2001-01-13 06:00:00
12 days 12:00:00,2001-01-13 12:00:00
12 days 18:00:00,2001-01-13 18:00:00
13 days 00:00:00,2001-01-14 00:00:00
13 days 06:00:00,2001-01-14 06:00:00
13 days 12:00:00,2001-01-14 12:00:00
13 days 18:00:00,2001-01-14 18:00:00
14 days 00:00:00,2001-01-15 00:00:00
14 days 06:00:00,2001-01-15 06:00:00
14 days 12:00:00,2001-01-15 12:00:00
14 days 18:00:00,2001-01-15 18:00:00
15 days 00:00:00,2001-01-16 00:00:00
15 days 06:00:00,2001-01-16 06:00:00
15 days 12:00:00,2001-01-16 12:00:00
15 days 18:00:00,2001-01-16 18:00:00
16 days 00:00:00,2001-01-17 00:00:00
16 days 06:00:00,2001-01-17 06:00:00
16 days 12:00:00,2001-01-17 12:00:00
16 days 18:00:00,2001-01-17 18:00:00
17 days 00:00:00,2001-01-18 00:00:00
17 days 06:00:00,2001-01-18 06:00:00
17 days 12:00:00,2001-01-18 12:00:00
17 days 18:00:00,2001-01-18 18:00:00
18 days 00:00:00,2001-01-19 00:00:00
18 days 06:00:00,2001-01-19 06:00:00
18 days 12:00:00,2001-01-19 12:00:00
18 days 18:00:00,2001-01-19 18:00:00
19 days 00:00:00,2001-01-20 00:00:00
19 days 06:00:00,2001-01-20 06:00:00
19 days 12:00:00,2001-01-20 12:00:00
19 days 18:00:00,2001-01-20 18:00:00
20 days 00:00:00,2001-01-21 00:00:00
20 days 06:00:00,2001-01-21 06:00:00
20 days 12:00:00,2001-01-21 12:00:00
20 days 18:00:00,2001-01-21 18:00:00
21 days 00:00:00,2001-01-22 00:00:00
21 days 06:00:00,2001-01-22 06:00:00
21 days 12:00:00,2001-01-22 12:00:00
21 days 18:00:00,2001-01-22 18:00:00
22 days 00:00:00,2001-01-23 00:00:00
22 days 06:00:00,2001-01-23 06:00:00
22 days 12:00:00,2001-01-23 12:00:00
22 days 18:00:00,2001-01-23 18:00:00
23 days 00:00:00,2001-01-24 00:00:00
23 days 06:00:00,2001-01-24 06:00:00
23 days 12:00:00,2001-01-24 12:00:00
23 days 18:00:00,2001-01-24 18:00:00
24 days 00:00:00,2001-01-25 00:00:00
24 days 06:00:00,2001-01-25 06:00:00
24 days 12:00:00,2001-01-25 12:00:00
24 days 18:00:00,2001-01-25 18:00:00
25 days 00:00:00,2001-01-26 00:00:00
25 days 06:00:00,2001-01-26 06:00:00
25 days 12:00:00,2001-01-26 12:00:00
25 days 18:00:00,2001-01-26 18:00:00
26 days 00:00:00,2001-01-27 00:00:00
26 days 06:00:00,2001-01-27 06:00:00
26 days 12:00:00,2001-01-27 12:00:00
26 days 18:00:00,2001-01-27 18:00:00
27 days 00:00:00,2001-01-28 00:00:00
27 days 06:00:00,2001-01-28 06:00:00
27 days 12:00:00,2001-01-28 12:00:00
27 days 18:00:00,2001-01-28 18:00:00
28 days 00:00:00,2001-01-29 00:00:00
28 days 06:00:00,2001-01-29 06:00:00
28 days 12:00:00,2001-01-29 12:00:00
28 days 18:00:00,2001-01-29 18:00:00
29 days 00:00:00,2001-01-30 00:00:00
29 days 06:00:00,2001-01-30 06:00:00
29 days 12:00:00,2001-01-30 12:00:00
29 days 18:00:00,2001-01-30 18:00:00
30 days 00:00:00,2001-01-31 00:00:00
30 days 06:00:00,2001-01-31 06:00:00
30 days 12:00:00,2001-01-31 12:00:00
30 days 18:00:00,2001-01-31 18:00:00
31 days 00:00:00,2001-02-01 00:00:00
31 days 06:00:00,2001-02-01 06:00:00
31 days 12:00:00,2001-02-01 12:00:00
31 days 18:00:00,2001-02-01 18:00:00
32 days 00:00:00,2001-02-02 00:00:00
32 days 06:00:00,2001-02-02 06:00:00
32 days 12:00:00,2001-02-02 12:00:00
32 days 18:00:00,2001-02-02 18:00:00
33 days 00:00:00,2001-02-03 00:00:00
33 days 06:00:00,2001-02-03 06:00:00
33 days 12:00:00,2001-02-03 12:00:00
33 days 18:00:00,2001-02-03 18:00:00
34 days 00:00:00,2001-02-04 00:00:00
34 days 06:00:00,2001-02-04 06:00:00
34 days 12:00:00,2001-02-04 12:00:00
34 days 18:00:00,2001-02-04 18:00:00
35 days 00:00:00,2001-02-05 00:00:00
35 days 06:00:00,2001-02-05 06:00:00
35 days 12:00:00,2001-02-05 12:00:00
35 days 18:00:00,2001-02-05 18:00:00
36 days 00:00:00,2001-02-06 00:00:00
36 days 06:00:00,2001-02-06 06:00:00
36 days 12:00:00,2001-02-06 12:00:00
36 days 18:00:00,2001-02-06 18:00:00
37 days 00:00:00,2001-02-07 00:00:00
37 days 06:00:00,2001-02-07 06:00:00
37 days 12:00:00,2001-02-07 12:00:00
37 days 18:00:00,2001-02-07 18:00:00
38 days 00:00:00,2001-02-08 00:00:00
38 days 06:00:00,2001-02-08 06:00:00
38 days 12:00:00,2001-02-08 12:00:00
38 days 18:00:00,2001-02-08 18:00:00
39 days 00:00:00,2001-02-09 00:00:00
39 days 06:00:00,2001-02-09 06:00:00
39 days 12:00:00,2001-02-09 12:00:00
39 days 18:00:00,2001-02-09 18:00:00
40 days 00:00:00,2001-02-10 00:00:00
40 days 06:00:00,2001-02-10 06:00:00
40 days 12:00:00,2001-02-10 12:00:00
40 days 18:00:00,2001-02-10 18:00:00
41 days 00:00:00,2001-02-11 00:00:00
41 days 06:00:00,2001-02-11 06:00:00
41 days 12:00:00,2001-02-11 12:00:00
41 days 18:00:00,2001-02-11 18:00:00
42 days 00:00:00,2001-02-12 00:00:00
42 days 06:00:00,2001-02-12 06:00:00
42 days 12:00:00,2001-02-12 12:00:00
42 days 18:00:00,2001-02-12 18:00:00
43 days 00:00:00,2001-02-13 00:00:00
43 days 06:00:00,2001-02-13 06:00:00
43 days 12:00:00,2001-02-13 12:00:00
43 days 18:00:00,2001-02-13 18:00:00
44 days 00:00:00,2001-02-14 00:00:00
44 days 06:00:00,2001-02-14 06:00:00
44 days 12:00:00,2001-02-14 12:00:00
44 days 18:00:00,2001-02-14 18:00:00
45 days 00:00:00,2001-02-15 00:00:00
45 days 06:00:00,2001-02-15 06:00:00
45 days 12:00:00,2001-02-15 12:00:00
45 days 18:00:00,2001-02-15 18:00:00
46 days 00:00:00,2001-02-16 00:00:00
46 days 06:00:00,2001-02-16 06:00:00
46 days 12:00:00,2001-02-16 12:00:00
46 days 18:00:00,2001-02-16 18:00:00
47 days 00:00:00,2001-02-17 00:00:00
47 days 06:00:00,2001-02-17 06:00:00
47 days 12:00:00,2001-02-17 12:00:00
47 days 18:00:00,2001-02-17 18:00:00
48 days 00:00:00,2001-02-18 00:00:00
48 days 06:00:00,2001-02-18 06:00:00
48 days 12:00:00,2001-02-18 12:00:00
48 days 18:00:00,2001-02-18 18:00:00
49 days 00:00:00,2001-02-19 00:00:00
49 days 06:00:00,2001-02-19 06:00:00
49 days 12:00:00,2001-02-19 12:00:00
49 days 18:00:00,2001-02-19 18:00:00
50 days 00:00:00,2001-02-20 00:00:00
50 days 06:00:00,2001-02-20 06:00:00
50 days 12:00:00,2001-02-20 12:00:00
50 days 18:00:00,2001-02-20 18:00:00
51 days 00:00:00,2001-02-21 00:00:00
51 days 06:00:00,2001-02-21 06:00:00
51 days 12:00:00,2001-02-21 12:00:00
51 days 18:00:00,2001-02-21 18:00:00
52 days 00:00:00,2001-02-22 00:00:00
52 days 06:00:00,2001-02-22 06:00:00
52 days 12:00:00,2001-02-22 12:00:00
52 days 18:00:00,2001-02-22 18:00:00
53 days 00:00:00,2001-02-23 00:00:00
53 days 06:00:00,2001-02-23 06:00:00
53 days 12:00:00,2001-02-23 12:00:00
53 days 18:00:00,2001-02-23 18:00:00
54 days 00:00:00,2001-02-24 00:00:00
54 days 06:00:00,2001-02-24 06:00:00
54 days 12:00:00,2001-02-24 12:00:00
54 days 18:00:00,2001-02-24 18:00:00
55 days 00:00:00,2001-02-25 00:00:00
55 days 06:00:00,2001-02-25 06:00:00
55 days 12:00:00,2001-02-25 12:00:00
55 days 18:00:00,2001-02-25 18:00:00
56 days 00:00:00,2001-02-26 00:00:00
56 days 06:00:00,2001-02-26 06:00:00
56 days 12:00:00,2001-02-26 12:00:00
56 days 18:00:00,2001-02-26 18:00:00
57 days 00:00:00,2001-02-27 00:00:00
57 days 06:00:00,2001-02-27 06:00:00
57 days 12:00:00,2001-02-27 12:00:00
57 days 18:00:00,2001-02-27 18:00:00
58 days 00:00:00,2001-02-28 00:00:00
58 days 06:00:00,2001-02-28 06:00:00
58 days 12:00:00,2001-02-28 12:00:00
58 days 18:00:00,2001-02-28 18:00:00
59 days 00:00:00,2001-03-01 00:00:00
59 days 06:00:00,2001-03-01 06:00:00
59 days 12:00:00,2001-03-01 12:00:00
59 days 18:00:00,2001-03-01 18:00:00
60 days 00:00:00,2001-03-02 00:00:00
60 days 06:00:00,2001-03-02 06:00:00
60 days 12:00:00,2001-03-02 12:00:00
60 days 18:00:00,2001-03-02 18:00:00
61 days 00:00:00,2001-03-03 00:00:00
61 days 06:00:00,2001-03-03 06:00:00
61 days 12:00:00,2001-03-03 12:00:00
61 days 18:00:00,2001-03-03 18:00:00
62 days 00:00:00,2001-03-04 00:00:00
62 days 06:00:00,2001-03-04 06:00:00
62 days 12:00:00,2001-03-04 12:00:00
62 days 18:00:00,2001-03-04 18:00:00
63 days 00:00:00,2001-03-05 00:00:00
63 days 06:00:00,2001-03-05 06:00:00
63 days 12:00:00,2001-03-05 12:00:00
63 days 18:00:00,2001-03-05 18:00:00
64 days 00:00:00,2001-03-06 00:00:00
64 days 06:00:00,2001-03-06 06:00:00
64 days 12:00:00,2001-03-06 12:00:00
64 days 18:00:00,2001-03-06 18:00:00
65 days 00:00:00,2001-03-07 00:00:00
65 days 06:00:00,2001-03-07 06:00:00
65 days 12:00:00,2001-03-07 12:00:00
65 days 18:00:00,2001-03-07 18:00:00
66 days 00:00:00,2001-03-08 00:00:00
66 days 06:00:00,2001-03-08 06:00:00
66 days 12:00:00,2001-03-08 12:00:00
66 days 18:00:00,2001-03-08 18:00:00
67 days 00:00:00,2001-03-09 00:00:00
67 days 06:00:00,2001-03-09 06:00:00
67 days 12:00:00,2001-03-09 12:00:00
67 days 18:00:00,2001-03-09 18:00:00
68 days 00:00:00,2001-03-10 00:00:00
68 days 06:00:00,2001-03-10 06:00:00
68 days 12:00:00,2001-03-10 12:00:00
68 days 18:00:00,2001-03-10 18:00:00
69 days 00:00:00,2001-03-11 00:00:00
69 days 06:00:00,2001-03-11 06:00:00
69 days 12:00:00,2001-03-11 12:00:00
69 days 18:00:00,2001-03-11 18:00:00
70 days 00:00:00,2001-03-12 00:00:00
70 days 06:00:00,2001-03-12 06:00:00
70 days 12:00:00,2001-03-12 12:00:00
70 days 18:00:00,2001-03-12 18:00:00
71 days 00:00:00,2001-03-13 00:00:00
71 days 06:00:00,2001-03-13 06:00:00
71 days 12:00:00,2001-03-13 12:00:00
